npanxx	state	rate_center	ocn	line_class
201200	NJ	JERSEYCITY	9206	L
201201	NJ	JERSEYCITY	624H	V
201202	NJ	HACKENSACK	6630	L
201203	NJ	HACKENSACK	325E	V
201204	NJ	JERSEYCITY	829J	L
201205	NJ	JERSEYCITY	5562	W
201206	NJ	HACKENSACK	5562	W
201207	NJ	NEWARK	6391	W
201208	NJ	JERSEYCITY	4036	W
201209	NJ	JERSEYCITY	9206	L
201210	NJ	UNION CITY	7421	L
201211	NJ	XXXXXXXXXX	MULT	L
201212	NJ	HACKENSACK	6623	W
201213	NJ	MORRISTOWN	6391	W
201214	NJ	HACKENSACK	4036	W
201215	NJ	BAYONNE	829J	L
201216	NJ	JERSEYCITY	9206	L
201217	NJ	JERSEYCITY	9206	L
201218	NJ	HACKENSACK	4036	W
201219	NJ	JERSEYCITY	6630	L
201220	NJ	HACKENSACK	4036	W
201221	NJ	HACKENSACK	7142	V
201222	NJ	JERSEYCITY	9206	L
201223	NJ	UNION CITY	9206	L
201224	NJ	CLIFFSIDE	9206	L
201225	NJ	ORADELL	9206	L
201226	NJ	HACKENSACK	9206	L
201227	NJ	ENGLEWOOD	9206	L
201228	NJ	LEONIA	7421	L
201229	NJ	HACKENSACK	9206	L
201230	NJ	SUCCASUNNA	6391	W
201231	NJ	RUTHERFORD	7421	L
201232	NJ	JERSEYCITY	6391	W
201233	NJ	CLIFFSIDE	6623	W
201234	NJ	JERSEYCITY	7421	L
201235	NJ	HACKENSACK	6734	L
201236	NJ	RAMSEY	9206	L
201237	NJ	RUTHERFORD	9748	L
201238	NJ	JERSEYCITY	6623	W
201239	NJ	JERSEYCITY	9206	L
201240	NJ	JERSEYCITY	6391	W
201241	NJ	JERSEYCITY	6391	W
201242	NJ	LEONIA	9206	L
201243	NJ	BAYONNE	9206	L
201244	NJ	DUMONT	9206	L
201245	NJ	HACKENSACK	4036	W
201246	NJ	KEARNY	9206	L
201247	NJ	CALDWELL	6391	W
201248	NJ	RAMSEY	6391	W
201249	NJ	FAIR LAWN	6391	W
201250	NJ	HACKENSACK	6391	W
201251	NJ	RIDGEWOOD	9206	L
201252	NJ	CRAGMERE	637C	V
201253	NJ	JERSEYCITY	4036	W
201254	NJ	FAIR LAWN	4804	V
201255	NJ	UNION CITY	4804	V
201256	NJ	CLOSTER	7421	L
201257	NJ	HASBROKHTS	6623	W
201258	NJ	RAMSEY	7421	L
201259	NJ	NEWARK	6391	W
201260	NJ	XXXXXXXXXX	9206	L
201261	NJ	ORADELL	9206	L
201262	NJ	ORADELL	9206	L
201263	NJ	WESTWOOD	9206	L
201264	NJ	RAMSEY	6391	W
201265	NJ	ORADELL	9206	L
201266	NJ	ENGLEWOOD	7421	L
201267	NJ	ORADELL	7229	L
201268	NJ	JERSEYCITY	4036	W
201269	NJ	WYCKOFF	9206	L
201270	NJ	HACKENSACK	7142	V
201271	NJ	UNION CITY	9206	L
201272	NJ	UNION CITY	7229	L
201273	NJ	JERSEYCITY	6391	W
201274	NJ	MORRISTOWN	6391	W
201275	NJ	JERSEYCITY	6623	W
201276	NJ	HACKENSACK	6919	L
201277	NJ	HACKENSACK	637C	V
201278	NJ	DUMONT	6919	L
201279	NJ	KEARNY	5562	W
201280	NJ	FAIR LAWN	6391	W
201281	NJ	HACKENSACK	6623	W
201282	NJ	CLIFFSIDE	793K	L
201283	NJ	KEARNY	4804	V
201284	NJ	JERSEYCITY	9206	L
201285	NJ	BAYONNE	829J	L
201286	NJ	HACKENSACK	4036	W
201287	NJ	TEANECK	9206	L
201288	NJ	HASBROKHTS	9206	L
201289	NJ	HACKENSACK	4036	W
201290	NJ	HACKENSACK	4036	W
201291	NJ	HACKENSACK	9206	L
201292	NJ	LEONIA	7134	L
201293	NJ	UNION CITY	4804	V
201294	NJ	HACKENSACK	4036	W
201295	NJ	UNION CITY	9206	L
201296	NJ	HACKENSACK	9206	L
201297	NJ	CLOSTER	7229	L
201298	NJ	HASBROKHTS	829J	L
201299	NJ	KEARNY	7229	L
201300	NJ	FAIR LAWN	7229	L
201301	NJ	RIDGEWOOD	7229	L
201302	NJ	LEONIA	9206	L
201303	NJ	NEWARK	4036	W
201304	NJ	TEANECK	5562	W
201305	NJ	UNION CITY	7142	V
201306	NJ	NEWARK	6391	W
201307	NJ	PARK RIDGE	9206	L
201308	NJ	ENGLEWOOD	7142	V
201309	NJ	JERSEYCITY	9206	L
201310	NJ	HACKENSACK	4036	W
201311	NJ	XXXXXXXXXX	MULT	L
201312	NJ	RAMSEY	4036	W
201313	NJ	CLIFFSIDE	9206	L
201314	NJ	HACKENSACK	4036	W
201315	NJ	HACKENSACK	4036	W
201316	NJ	RAMSEY	7142	V
201317	NJ	SUCCASUNNA	6391	W
201318	NJ	JERSEYCITY	7142	V
201319	NJ	UNION CITY	9206	L
201320	NJ	JERSEYCITY	6391	W
201321	NJ	FAIR LAWN	6391	W
201322	NJ	ORADELL	7229	L
201323	NJ	MORRISTOWN	4036	W
201324	NJ	JERSEYCITY	9206	L
201325	NJ	UNION CITY	9206	L
201326	NJ	PARK RIDGE	7229	L
201327	NJ	RAMSEY	9206	L
201328	NJ	CLIFFSIDE	7229	L
201329	NJ	HACKENSACK	9206	L
201330	NJ	UNION CITY	9206	L
201331	NJ	CRAGMERE	7229	L
201332	NJ	JERSEYCITY	9206	L
201333	NJ	JERSEYCITY	9206	L
201334	NJ	HACKENSACK	4804	V
201335	NJ	CRAGMERE	7142	V
201336	NJ	HACKENSACK	9206	L
201337	NJ	OAKLAND	9206	L
201338	NJ	DUMONT	7142	V
201339	NJ	BAYONNE	9206	L
201340	NJ	RUTHERFORD	4804	V
201341	NJ	NEWARK	6391	W
201342	NJ	HACKENSACK	9206	L
201343	NJ	HACKENSACK	9206	L
201344	NJ	JERSEYCITY	5562	W
201345	NJ	RIDGEWOOD	7229	L
201346	NJ	LEONIA	9206	L
201347	NJ	TEANECK	7229	L
201348	NJ	UNION CITY	9206	L
